Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895
China,HKG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.409307439,1.493872439,2.40613432,2.883208538,0.250962021
China,MAC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.370161348,1.22655456,3.005221006,,
Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.04244763,3.683329444,2.878297236,4.470366608,3.381659372
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.739143523,3.44637335,3.664850284,3.732976212,3.211768038
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.948216341,3.328173375,3.945068664,3.723276483,6.623436776
Senegal,SEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.837284943,1.318153148,0.460985642,1.758565176,2.547434646
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396
