DATE,PCOFFOTMUSDM
4/1/2008,137.7352381
5/1/2008,139.7371429
6/1/2008,144.079
7/1/2008,145.3527273
8/1/2008,145.7657895
9/1/2008,140.5572727
10/1/2008,121.4072727
11/1/2008,120.4370588
12/1/2008,116.97125
1/1/2009,128.0278947
2/1/2009,128.5094118
3/1/2009,127.7640909
4/1/2009,134.5795238
5/1/2009,147.34
6/1/2009,145.1731818
7/1/2009,137.8713636
8/1/2009,146.8657143
9/1/2009,145.6685714
10/1/2009,151.9495455
11/1/2009,150.2278947
12/1/2009,155.8614286
1/1/2010,154.4015789
2/1/2010,155.9242105
3/1/2010,162.1269565
4/1/2010,171.0621053
5/1/2010,174.0094444
6/1/2010,193.5240909
7/1/2010,205.2471429
8/1/2010,212.7995455
9/1/2010,222.1
10/1/2010,215.8371429
11/1/2010,227.9595
12/1/2010,237.328
1/1/2011,262.9447368
2/1/2011,288.0831579
3/1/2011,294.4834783
4/1/2011,302.7094737
5/1/2011,293.057619
6/1/2011,277.7777273
7/1/2011,269.18
8/1/2011,273.5421739
9/1/2011,275.5845455
10/1/2011,248.4928571
11/1/2011,249.504
12/1/2011,243.1446667
1/1/2012,240.89
2/1/2012,225.494
3/1/2012,201.8509091
4/1/2012,193.351
5/1/2012,186.3459091
6/1/2012,169.7895238
7/1/2012,190.7728571
8/1/2012,175.9669565
9/1/2012,179.6031579
10/1/2012,172.3740909
11/1/2012,160.6425
12/1/2012,154.63
1/1/2013,158.2728571
2/1/2013,152.9984211
3/1/2013,153.0115789
4/1/2013,152.9595455
5/1/2013,151.4254545
6/1/2013,138.855
7/1/2013,138.4395238
8/1/2013,135.63
9/1/2013,132.78
10/1/2013,128.8282609
11/1/2013,122.7484211
12/1/2013,126.7371429
1/1/2014,135.0333333
2/1/2014,176.2763158
3/1/2014,216.0595238
4/1/2014,226.9852381
5/1/2014,215.2380952
6/1/2014,198.9109524
7/1/2014,198.5909091
8/1/2014,214.5
9/1/2014,212.0052381
10/1/2014,227.0595652
11/1/2014,212.9261111
12/1/2014,200.59
1/1/2015,190.8983333
2/1/2015,179.94
3/1/2015,160.0222727
4/1/2015,164.9519048
5/1/2015,158.1733333
6/1/2015,159.7695455
7/1/2015,153.2922727
8/1/2015,158.7761905
9/1/2015,147.6542857
10/1/2015,153.8831818
11/1/2015,148.9368421
12/1/2015,149.815
1/1/2016,146.3215789
2/1/2016,148.94
3/1/2016,156.9372727
4/1/2016,154.2019048
5/1/2016,155.4042857
6/1/2016,165.8490909
7/1/2016,172.3525
8/1/2016,170.3421739
9/1/2016,178.0709524
10/1/2016,178.6242857
11/1/2016,185.1275
12/1/2016,162.5576471
1/1/2017,167.8275
2/1/2017,165.5584211
3/1/2017,159.3886364
4/1/2017,155.9005263
5/1/2017,151.1786364
6/1/2017,144.0990909
7/1/2017,151.69
8/1/2017,154.5921739
9/1/2017,149.715
10/1/2017,143.1218182
11/1/2017,144.24
12/1/2017,141.8328571
1/1/2018,144.1542857
2/1/2018,142.9268421
3/1/2018,140.2019048
4/1/2018,140.3685714
5/1/2018,141.6786364
6/1/2018,139.8328571
7/1/2018,133.0352381
8/1/2018,128.5486957
9/1/2018,124.3873684
10/1/2018,140.5756522
11/1/2018,142.115
12/1/2018,130.72125
1/1/2019,132.6185714
2/1/2019,134.4794737
3/1/2019,129.4042857
4/1/2019,128.44
5/1/2019,127.7922727
6/1/2019,137.965
7/1/2019,141.2852381
8/1/2019,134.4968182
9/1/2019,136.415
10/1/2019,133.4291304
11/1/2019,148.8084211
12/1/2019,164.44
1/1/2020,150.3566667
2/1/2020,145.8610526
3/1/2020,161.4627273
4/1/2020,163.7019048
5/1/2020,155.9275
6/1/2020,147.2809091
7/1/2020,151.4968182
8/1/2020,166.2426316
9/1/2020,169.0471429
10/1/2020,154.1218182
11/1/2020,154.477
12/1/2020,162.9345455
1/1/2021,165.2773684
2/1/2021,170.8889474
3/1/2021,169.9721739
4/1/2021,171.6590995
5/1/2021,189.6492259
6/1/2021,195.4239953
7/1/2021,208.0778865
8/1/2021,220.2202571
9/1/2021,229.48174
10/1/2021,245.2900083
11/1/2021,263.5080351
