id,country,year,import,consumption,production,export 
1005,Brazil  ,2016,62,21625,56100,33081
1005,Brazil  ,2017,61,22420,52100,30454
1005,Brazil  ,2018,67,23200,66500,41426
1005,Brazil  ,2019,67,22994,60500,40256
1006,South Africa,2021,725,725,0,0
1006,South Africa,1990,286,0,0,0
1006,South Africa,1991,282,0,0,0
1006,South Africa,1992,338,0,0,0
1006,South Africa,1993,403,0,0,0
1006,South Africa,1994,345,0,0,0
1006,South Africa,1995,324,0,0,0
1006,South Africa,1996,328,0,0,0
1006,South Africa,1997,323,0,0,0
1006,South Africa,1998,351,0,0,0
1006,South Africa,1999,334,0,0,0
1006,South Africa,2000,413,0,0,0
1006,South Africa,2001,337,0,0,0
1006,South Africa,2002,340,325,0,0
1006,South Africa,2003,360,360,0,0
1006,South Africa,2004,380,380,0,0
1006,South Africa,2005,420,420,0,0
1006,South Africa,2006,510,510,0,0
1006,South Africa,2007,380,380,0,0
1006,South Africa,2008,370,370,0,0
1006,South Africa,2009,525,525,0,0
1006,South Africa,2010,535,535,0,0
1006,South Africa,2011,500,500,0,0
1006,South Africa,2012,545,545,0,0
1006,South Africa,2013,545,545,0,0
1006,South Africa,2014,565,565,0,0
1006,South Africa,2015,600,600,0,0
1006,South Africa,2016,585,585,0,0
1006,South Africa,2017,715,715,0,0
1006,South Africa,2018,710,710,0,0
1006,South Africa,2019,660,660,0,0
1006,South Africa,2020,715,715,0,0
